"OWNER","ADDRESS","City","State","Zip","TOTL_SQFT","D_CLASS_CN","TOTAL_VALUE","cst_sqft","AUTO_UNIQUE_ID_2014-04-22_sebrenner_denOffice_short","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType","MNumber","MNumberFractional","MPreDirectional","MName","MSuffix","MPostDirectional","MSuiteType","MSuiteNumber","MPostOfficeBoxType","MPostOfficeBoxNumber","MCity","MState","MZip","MZipPlus1","MZipPlus2","MZipPlus3","MZipPlus4","MZipPlus5","MPreQualifier","MPostQualifier","MConsolidatedCity","MMinorCivilDivision","MCountySubRegion","MCounty","MPreType","MPreArticle","MPostArticle","PPostArticle","PPreArticle","PPreType","PNumber","PNumberFractional","PPreDirectional","PName","PSuffix","PPostDirectional","PSuiteType","PSuiteNumber","PPostOfficeBoxType","PPostOfficeBoxNumber","PCity","PState","PZip","PZipPlus1","PZipPlus2","PZipPlus3","PZipPlus4","PZipPlus5","PPreQualifier","PPostQualifier","PConsolidatedCity","PMinorCivilDivision","PCountySubRegion","PCounty","FNumber","FNumberFractional","FPreDirectional","FName","FSuffix","FPostDirectional","FSuiteType","FSuiteNumber","FCity","FState","FZip","FZipPlus1","FZipPlus2","FZipPlus3","FZipPlus4","FZipPlus5","FPreQualifier","FPostQualifier","FConsolidatedCity","FMinorCivilDivision","FCountySubRegion","FCounty","FArea","FAreaType","FGeometry","FSource","FVintage","FPrimaryIdValue","FPostOfficeBoxNumber","FPrimaryIdField","FGeometrySRID","FPostOfficeBoxType","FPreType","FPreArticle","FPostArticle"
"FOCUS KANSAS LLC","730  17TH ST","Denver","CO","80123","113","OFFICE CONDO","167400","1,481.42",58,"USCGeocoder",16,1,"4.01","","b503ba94-6670-40cd-90f6-3c0b40fcd320","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"2195 DECATUR OFFICE LLC","2195  DECATUR ST","Denver","CO","80123","118","OFFICE CONDO","31000","262.71",59,"USCGeocoder",218,1,"4.01","","9f978a2a-ba8c-4fdb-b8a0-a14fa42f5d05","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2545.80388139747","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7497201454256,-105.022612592214,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2017","2","0006.00","031","08","1","ResidenceStreetAddress","2195","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","2195","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","2195","","","","St","","","","Denver","CO","80211","","","","5182","","","","","","","",2545.80388139747,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","736112","","UniqueId",0,"","","",""
"SBC 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","152800","1,273.33",60,"USCGeocoder",16,1,"4.01","","ec2e5148-aa16-4363-b445-161809322e40","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"DENVER CHIEF LLC","730  17TH ST","Denver","CO","80123","120","OFFICE CONDO","175800","1,465.00",61,"USCGeocoder",16,1,"4.01","","584beba5-b96c-4fdc-a471-bac0ddccf59d","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"AEM PROPERTIES LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","253500","2,112.50",62,"USCGeocoder",0,1,"4.01","","4669f7cc-8a93-4ed6-9af7-d79dbaaafe35","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"1800 GLENARM 10C LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","253500","2,112.50",63,"USCGeocoder",0,1,"4.01","","d494a9c7-7fa1-423b-b98e-d8034e9689d8","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"ST  CHARLES EL GRAN JUBILEE LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","238600","1,988.33",64,"USCGeocoder",16,1,"4.01","","04aca6b9-39a6-4441-abd1-69b92f3c7e07","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"AK RESOURCES LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","152800","1,273.33",65,"USCGeocoder",16,1,"4.01","","129944fb-dcec-4f79-8846-5db09ac65787","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"MOD 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","253500","2,112.50",66,"USCGeocoder",0,1,"4.01","","a322738d-905c-46d8-abc3-3ffc07598549","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"MODJ 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","152800","1,273.33",67,"USCGeocoder",0,1,"4.01","","7a7260f8-87c6-4dba-b7ac-fa7f24397ae7","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"COLORADO OIL AND GAS ASSOCIATION","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","223600","1,863.33",68,"USCGeocoder",16,1,"4.01","","46e13a7b-1df3-472f-bff1-f89a9ebbec58","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"SBC 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","208700","1,739.17",69,"USCGeocoder",0,1,"4.01","","8b607aab-43b0-4f92-9951-4ae14fd0f418","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"BRAVO SIX LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","152800","1,273.33",70,"USCGeocoder",16,1,"4.01","","ac80474b-0624-42ca-9d2a-68676b4202ac","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"NATUS VALDE LLC","1800  GLENARM PL","Denver","CO","80123","120","OFFICE CONDO","223600","1,863.33",71,"USCGeocoder",0,1,"4.01","","77ce1055-82e1-471f-981d-1fda1c955229","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"HNC ASSOCIATES LLC","1825  LAWRENCE ST","Denver","CO","80123","126","OFFICE CONDO","34800","276.19",72,"USCGeocoder",16,1,"4.01","","312ca68d-5ffc-46f7-951f-42a8fda9a70a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","578.199445098639","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7510210446768,-104.993832172969,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4003","4","0017.01","031","08","1","ResidenceStreetAddress","1825","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1825","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1825","","","","St","","","","Denver","CO","80202","","","","1817","","","","","","","",578.199445098639,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","723768","","UniqueId",0,"","","",""
"GERMAIN INVESTMENT COMPANY","1825  LAWRENCE ST","Denver","CO","80123","128","OFFICE CONDO","27300","213.28",73,"USCGeocoder",0,1,"4.01","","a53b2f24-854e-4b5e-9997-17b4e89dec68","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","578.199445098639","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7510210446768,-104.993832172969,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4003","4","0017.01","031","08","1","ResidenceStreetAddress","1825","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1825","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1825","","","","St","","","","Denver","CO","80202","","","","1817","","","","","","","",578.199445098639,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","723768","","UniqueId",0,"","","",""
"GREY,ROBERT E AND PAULA J","1401  WEWATTA ST","Denver","CO","80123","130","OFFICE CONDO","207700","1,597.69",74,"USCGeocoder",203,1,"4.01","","0f65ff90-7793-4509-ac41-ae0b562fd97d","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1509.96260850504","LinearInterpolationAddressRange","StreetSegment","88.0177514792899","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",39.7509658484392,-105.003684708398,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2009","2","0017.01","031","08","1","ResidenceStreetAddress","1401","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1401","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1425-1401","","","","St","","","","Denver","CO","80202","","","","","","","","","","Denver","Denver",1509.96260850504,"Meters","","SOURCE_CENSUS_TIGERLINES_2010","2010","177625396","","tlid",0,"","","",""
"EQ BUILDING HOLDING LLC","730  17TH ST","Denver","CO","80123","133","OFFICE CONDO","197600","1,485.71",75,"USCGeocoder",16,1,"4.01","","20b706d1-db7c-4162-80df-3106262f1c39","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"DENVER EARTH RESOURCES LIBRARY","730  17TH ST","Denver","CO","80123","135","OFFICE CONDO","67100","497.04",76,"USCGeocoder",16,1,"4.01","","dfede436-bcf5-4fda-9417-87fc7bdb6e1f","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"STAR MESA ENERGY LLC","1800  GLENARM PL","Denver","CO","80123","146","OFFICE CONDO","185400","1,269.86",77,"USCGeocoder",0,1,"4.01","","853ff0d9-2449-44f7-a923-147dfb83c668","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"BRAVO SIX LLC","1800  GLENARM PL","Denver","CO","80123","146","OFFICE CONDO","185400","1,269.86",78,"USCGeocoder",16,1,"4.01","","a0556fe0-8bff-48eb-a8dd-c746dee22915","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"MODJ 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","146","OFFICE CONDO","185400","1,269.86",79,"USCGeocoder",16,1,"4.01","","3b6333dd-a904-429c-a8bd-d1559a7329a0","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"COLORADO OIL AND GAS ASSOCIATION","1800  GLENARM PL","Denver","CO","80123","146","OFFICE CONDO","169100","1,158.22",80,"USCGeocoder",16,1,"4.01","","bc3abe2d-9fcb-4f06-907a-ba7ada3af77d","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"SBC 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","146","OFFICE CONDO","251200","1,720.55",81,"USCGeocoder",16,1,"4.01","","97ed36ab-70d8-484b-93dc-761c193064ba","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"KT ENTERPRIZE","1800  GLENARM PL","Denver","CO","80123","146","OFFICE CONDO","305000","2,089.04",82,"USCGeocoder",0,1,"4.01","","8390e64e-2e58-4cb4-bea5-15907a041691","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"MOD 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","146","OFFICE CONDO","305000","2,089.04",83,"USCGeocoder",16,1,"4.01","","4644e326-f8de-40ea-bc9c-8ec93fe11210","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
